Loading Y_scaler from file Y_scaler.gz
target_element: torch.Size([10000, 3, 101])
target_element_all: torch.Size([9, 101])
Step 3100, Loss: 32.28437042236328
Step 3110, Loss: 32.275943756103516
Step 3120, Loss: 32.26734924316406
Step 3130, Loss: 32.25918197631836
Step 3140, Loss: 32.247337341308594
Step 3150, Loss: 32.23550796508789
Step 3160, Loss: 32.22494125366211
Step 3170, Loss: 32.2159538269043
Step 3180, Loss: 32.206268310546875
Step 3190, Loss: 32.198516845703125
Step 3200, Loss: 32.18806838989258
Step 3210, Loss: 32.1794548034668
Step 3220, Loss: 32.17055892944336
Step 3230, Loss: 32.163082122802734
Step 3240, Loss: 32.15494918823242
Step 3250, Loss: 32.1463737487793
Step 3260, Loss: 32.135711669921875
Step 3270, Loss: 32.12651062011719
Step 3280, Loss: 32.11811828613281
Step 3290, Loss: 32.109893798828125
Step 3300, Loss: 32.10040283203125
Step 3310, Loss: 32.090999603271484
Step 3320, Loss: 32.08282470703125
Step 3330, Loss: 32.075439453125
Step 3340, Loss: 32.06806945800781
Step 3350, Loss: 32.06025314331055
Step 3360, Loss: 32.04999923706055
Step 3370, Loss: 32.0424919128418
Step 3380, Loss: 32.03583908081055
Step 3390, Loss: 32.02736282348633
Step 3400, Loss: 32.0173225402832
Step 3410, Loss: 32.005859375
Step 3420, Loss: 31.995792388916016
Step 3430, Loss: 31.987581253051758
Step 3440, Loss: 31.97450828552246
Step 3450, Loss: 31.966941833496094
Step 3460, Loss: 31.956703186035156
Step 3470, Loss: 31.946393966674805
Step 3480, Loss: 31.934837341308594
Step 3490, Loss: 31.92450714111328
Step 3500, Loss: 31.915834426879883
Step 3510, Loss: 31.907222747802734
Step 3520, Loss: 31.896060943603516
Step 3530, Loss: 31.88811492919922
Step 3540, Loss: 31.87836456298828
Step 3550, Loss: 31.869632720947266
Step 3560, Loss: 31.861398696899414
Step 3570, Loss: 31.85121726989746
Step 3580, Loss: 31.841262817382812
Step 3590, Loss: 31.831510543823242
Step 3600, Loss: 31.822219848632812
Step 3610, Loss: 31.813629150390625
Step 3620, Loss: 31.8057861328125
Step 3630, Loss: 31.799470901489258
Step 3640, Loss: 31.792306900024414
Step 3650, Loss: 31.784284591674805
Step 3660, Loss: 31.775253295898438
Step 3670, Loss: 31.76384735107422
Step 3680, Loss: 31.754566192626953
Step 3690, Loss: 31.742198944091797
Step 3700, Loss: 31.732892990112305
Step 3710, Loss: 31.722381591796875
Step 3720, Loss: 31.71300506591797
Step 3730, Loss: 31.70486831665039
Step 3740, Loss: 31.696758270263672
Step 3750, Loss: 31.68881607055664
Step 3760, Loss: 31.680295944213867
Step 3770, Loss: 31.671138763427734
Step 3780, Loss: 31.663482666015625
Step 3790, Loss: 31.654781341552734
Step 3800, Loss: 31.648147583007812
Step 3810, Loss: 31.639568328857422
Step 3820, Loss: 31.630718231201172
Step 3830, Loss: 31.622623443603516
Step 3840, Loss: 31.613780975341797
Step 3850, Loss: 31.605575561523438
Step 3860, Loss: 31.596397399902344
Step 3870, Loss: 31.589860916137695
Step 3880, Loss: 31.5813045501709
Step 3890, Loss: 31.57099151611328
Step 3900, Loss: 31.561290740966797
Step 3910, Loss: 31.55215835571289
Step 3920, Loss: 31.543577194213867
Step 3930, Loss: 31.533668518066406
Step 3940, Loss: 31.526798248291016
Step 3950, Loss: 31.518123626708984
Step 3960, Loss: 31.510400772094727
Step 3970, Loss: 31.503999710083008
Step 3980, Loss: 31.493284225463867
Step 3990, Loss: 31.48554801940918
